Type of Product,Date,Year,Month,Month_Num,PCE,Price Index
Personal consumption expenditures (PCE),2001-01-01,2001,Jan,1,6987401.0,74.932
Personal consumption expenditures (PCE),2001-02-01,2001,Feb,2,7001834.0,75.048
Personal consumption expenditures (PCE),2001-03-01,2001,Mar,3,6996658.0,75.055
Personal consumption expenditures (PCE),2001-04-01,2001,Apr,4,7004240.0,75.187
Personal consumption expenditures (PCE),2001-05-01,2001,May,5,7052781.0,75.385
Personal consumption expenditures (PCE),2001-06-01,2001,Jun,6,7069728.0,75.518
Personal consumption expenditures (PCE),2001-07-01,2001,Jul,7,7082297.0,75.493
Personal consumption expenditures (PCE),2001-08-01,2001,Aug,8,7121688.0,75.484
Personal consumption expenditures (PCE),2001-09-01,2001,Sep,9,7007024.0,75.227
Personal consumption expenditures (PCE),2001-10-01,2001,Oct,10,7212903.0,75.492
Personal consumption expenditures (PCE),2001-11-01,2001,Nov,11,7182323.0,75.441
Personal consumption expenditures (PCE),2001-12-01,2001,Dec,12,7166733.0,75.363
Personal consumption expenditures (PCE),2002-01-01,2002,Jan,1,7184624.0,75.431
Personal consumption expenditures (PCE),2002-02-01,2002,Feb,2,7225161.0,75.558
Personal consumption expenditures (PCE),2002-03-01,2002,Mar,3,7243358.0,75.763
Personal consumption expenditures (PCE),2002-04-01,2002,Apr,4,7312466.0,76.08
Personal consumption expenditures (PCE),2002-05-01,2002,May,5,7288903.0,76.13
Personal consumption expenditures (PCE),2002-06-01,2002,Jun,6,7322496.0,76.225
Personal consumption expenditures (PCE),2002-07-01,2002,Jul,7,7387293.0,76.393
Personal consumption expenditures (PCE),2002-08-01,2002,Aug,8,7412576.0,76.543
Personal consumption expenditures (PCE),2002-09-01,2002,Sep,9,7391538.0,76.681
Personal consumption expenditures (PCE),2002-10-01,2002,Oct,10,7435169.0,76.821
Personal consumption expenditures (PCE),2002-11-01,2002,Nov,11,7463805.0,76.897
Personal consumption expenditures (PCE),2002-12-01,2002,Dec,12,7519901.0,76.971
Personal consumption expenditures (PCE),2003-01-01,2003,Jan,1,7541283.0,77.201
Personal consumption expenditures (PCE),2003-02-01,2003,Feb,2,7548649.0,77.526
Personal consumption expenditures (PCE),2003-03-01,2003,Mar,3,7611549.0,77.725
Personal consumption expenditures (PCE),2003-04-01,2003,Apr,4,7634487.0,77.593
Personal consumption expenditures (PCE),2003-05-01,2003,May,5,7650333.0,77.504
Personal consumption expenditures (PCE),2003-06-01,2003,Jun,6,7699554.0,77.588
Personal consumption expenditures (PCE),2003-07-01,2003,Jul,7,7757004.0,77.816
Personal consumption expenditures (PCE),2003-08-01,2003,Aug,8,7852102.0,78.079
Personal consumption expenditures (PCE),2003-09-01,2003,Sep,9,7853674.0,78.323
Personal consumption expenditures (PCE),2003-10-01,2003,Oct,10,7867359.0,78.333
Personal consumption expenditures (PCE),2003-11-01,2003,Nov,11,7922591.0,78.432
Personal consumption expenditures (PCE),2003-12-01,2003,Dec,12,7950409.0,78.605
Personal consumption expenditures (PCE),2004-01-01,2004,Jan,1,8007115.0,78.909
Personal consumption expenditures (PCE),2004-02-01,2004,Feb,2,8040409.0,79.077
Personal consumption expenditures (PCE),2004-03-01,2004,Mar,3,8098806.0,79.199
Personal consumption expenditures (PCE),2004-04-01,2004,Apr,4,8107245.0,79.346
Personal consumption expenditures (PCE),2004-05-01,2004,May,5,8176470.0,79.604
Personal consumption expenditures (PCE),2004-06-01,2004,Jun,6,8157607.0,79.831
Personal consumption expenditures (PCE),2004-07-01,2004,Jul,7,8236938.0,79.905
Personal consumption expenditures (PCE),2004-08-01,2004,Aug,8,8271607.0,79.946
Personal consumption expenditures (PCE),2004-09-01,2004,Sep,9,8341461.0,80.104
Personal consumption expenditures (PCE),2004-10-01,2004,Oct,10,8397056.0,80.448
Personal consumption expenditures (PCE),2004-11-01,2004,Nov,11,8444456.0,80.758
Personal consumption expenditures (PCE),2004-12-01,2004,Dec,12,8504351.0,80.801
Personal consumption expenditures (PCE),2005-01-01,2005,Jan,1,8497691.0,80.907
Personal consumption expenditures (PCE),2005-02-01,2005,Feb,2,8559081.0,81.132
Personal consumption expenditures (PCE),2005-03-01,2005,Mar,3,8598432.0,81.375
Personal consumption expenditures (PCE),2005-04-01,2005,Apr,4,8678413.0,81.603
Personal consumption expenditures (PCE),2005-05-01,2005,May,5,8671645.0,81.649
Personal consumption expenditures (PCE),2005-06-01,2005,Jun,6,8753379.0,81.7
Personal consumption expenditures (PCE),2005-07-01,2005,Jul,7,8853777.0,82.046
Personal consumption expenditures (PCE),2005-08-01,2005,Aug,8,8850108.0,82.377
Personal consumption expenditures (PCE),2005-09-01,2005,Sep,9,8900382.0,83.172
Personal consumption expenditures (PCE),2005-10-01,2005,Oct,10,8938497.0,83.305
Personal consumption expenditures (PCE),2005-11-01,2005,Nov,11,8946242.0,83.131
Personal consumption expenditures (PCE),2005-12-01,2005,Dec,12,8981147.0,83.131
Personal consumption expenditures (PCE),2006-01-01,2006,Jan,1,9071617.0,83.534
Personal consumption expenditures (PCE),2006-02-01,2006,Feb,2,9095989.0,83.584
Personal consumption expenditures (PCE),2006-03-01,2006,Mar,3,9132854.0,83.746
Personal consumption expenditures (PCE),2006-04-01,2006,Apr,4,9191586.0,84.135
Personal consumption expenditures (PCE),2006-05-01,2006,May,5,9231759.0,84.361
Personal consumption expenditures (PCE),2006-06-01,2006,Jun,6,9259602.0,84.569
Personal consumption expenditures (PCE),2006-07-01,2006,Jul,7,9343801.0,84.858
Personal consumption expenditures (PCE),2006-08-01,2006,Aug,8,9342154.0,85.125
Personal consumption expenditures (PCE),2006-09-01,2006,Sep,9,9375362.0,84.902
Personal consumption expenditures (PCE),2006-10-01,2006,Oct,10,9393623.0,84.702
Personal consumption expenditures (PCE),2006-11-01,2006,Nov,11,9400206.0,84.731
Personal consumption expenditures (PCE),2006-12-01,2006,Dec,12,9488275.0,85.032
Personal consumption expenditures (PCE),2007-01-01,2007,Jan,1,9538721.0,85.316
Personal consumption expenditures (PCE),2007-02-01,2007,Feb,2,9565960.0,85.581
Personal consumption expenditures (PCE),2007-03-01,2007,Mar,3,9611732.0,85.894
Personal consumption expenditures (PCE),2007-04-01,2007,Apr,4,9643571.0,86.096
Personal consumption expenditures (PCE),2007-05-01,2007,May,5,9685806.0,86.346
Personal consumption expenditures (PCE),2007-06-01,2007,Jun,6,9706762.0,86.529
Personal consumption expenditures (PCE),2007-07-01,2007,Jul,7,9751141.0,86.661
Personal consumption expenditures (PCE),2007-08-01,2007,Aug,8,9798937.0,86.72
Personal consumption expenditures (PCE),2007-09-01,2007,Sep,9,9845072.0,87.054
Personal consumption expenditures (PCE),2007-10-01,2007,Oct,10,9882702.0,87.318
Personal consumption expenditures (PCE),2007-11-01,2007,Nov,11,9955924.0,87.781
Personal consumption expenditures (PCE),2007-12-01,2007,Dec,12,9972793.0,87.984
Personal consumption expenditures (PCE),2008-01-01,2008,Jan,1,9996400.0,88.206
Personal consumption expenditures (PCE),2008-02-01,2008,Feb,2,9981672.0,88.382
Personal consumption expenditures (PCE),2008-03-01,2008,Mar,3,10035263.0,88.635
Personal consumption expenditures (PCE),2008-04-01,2008,Apr,4,10070270.0,88.799
Personal consumption expenditures (PCE),2008-05-01,2008,May,5,10132271.0,89.18
Personal consumption expenditures (PCE),2008-06-01,2008,Jun,6,10187065.0,89.827
Personal consumption expenditures (PCE),2008-07-01,2008,Jul,7,10185092.0,90.245
Personal consumption expenditures (PCE),2008-08-01,2008,Aug,8,10175729.0,90.172
Personal consumption expenditures (PCE),2008-09-01,2008,Sep,9,10116413.0,90.247
Personal consumption expenditures (PCE),2008-10-01,2008,Oct,10,10034123.0,89.651
Personal consumption expenditures (PCE),2008-11-01,2008,Nov,11,9885231.0,88.593
Personal consumption expenditures (PCE),2008-12-01,2008,Dec,12,9801472.0,88.098
Personal consumption expenditures (PCE),2009-01-01,2009,Jan,1,9847249.0,88.108
Personal consumption expenditures (PCE),2009-02-01,2009,Feb,2,9824478.0,88.266
Personal consumption expenditures (PCE),2009-03-01,2009,Mar,3,9773181.0,88.169
Personal consumption expenditures (PCE),2009-04-01,2009,Apr,4,9772523.0,88.295
Personal consumption expenditures (PCE),2009-05-01,2009,May,5,9791553.0,88.387
Personal consumption expenditures (PCE),2009-06-01,2009,Jun,6,9852431.0,88.912
Personal consumption expenditures (PCE),2009-07-01,2009,Jul,7,9886264.0,88.922
Personal consumption expenditures (PCE),2009-08-01,2009,Aug,8,10004129.0,89.18
Personal consumption expenditures (PCE),2009-09-01,2009,Sep,9,9927825.0,89.324
Personal consumption expenditures (PCE),2009-10-01,2009,Oct,10,9976733.0,89.663
Personal consumption expenditures (PCE),2009-11-01,2009,Nov,11,9985676.0,89.887
Personal consumption expenditures (PCE),2009-12-01,2009,Dec,12,10052579.0,89.939
Personal consumption expenditures (PCE),2010-01-01,2010,Jan,1,10056058.0,90.136
Personal consumption expenditures (PCE),2010-02-01,2010,Feb,2,10093426.0,90.134
Personal consumption expenditures (PCE),2010-03-01,2010,Mar,3,10155982.0,90.261
Personal consumption expenditures (PCE),2010-04-01,2010,Apr,4,10182287.0,90.31
Personal consumption expenditures (PCE),2010-05-01,2010,May,5,10210816.0,90.339
Personal consumption expenditures (PCE),2010-06-01,2010,Jun,6,10231332.0,90.301
Personal consumption expenditures (PCE),2010-07-01,2010,Jul,7,10268126.0,90.378
Personal consumption expenditures (PCE),2010-08-01,2010,Aug,8,10307070.0,90.502
Personal consumption expenditures (PCE),2010-09-01,2010,Sep,9,10327066.0,90.592
Personal consumption expenditures (PCE),2010-10-01,2010,Oct,10,10386366.0,90.881
Personal consumption expenditures (PCE),2010-11-01,2010,Nov,11,10433573.0,91.062
Personal consumption expenditures (PCE),2010-12-01,2010,Dec,12,10470972.0,91.268
Personal consumption expenditures (PCE),2011-01-01,2011,Jan,1,10514256.0,91.542
Personal consumption expenditures (PCE),2011-02-01,2011,Feb,2,10540610.0,91.797
Personal consumption expenditures (PCE),2011-03-01,2011,Mar,3,10619719.0,92.166
Personal consumption expenditures (PCE),2011-04-01,2011,Apr,4,10652081.0,92.557
Personal consumption expenditures (PCE),2011-05-01,2011,May,5,10672199.0,92.838
Personal consumption expenditures (PCE),2011-06-01,2011,Jun,6,10694775.0,92.819
Personal consumption expenditures (PCE),2011-07-01,2011,Jul,7,10731621.0,92.977
Personal consumption expenditures (PCE),2011-08-01,2011,Aug,8,10750276.0,93.196
Personal consumption expenditures (PCE),2011-09-01,2011,Sep,9,10783189.0,93.327
Personal consumption expenditures (PCE),2011-10-01,2011,Oct,10,10802881.0,93.329
Personal consumption expenditures (PCE),2011-11-01,2011,Nov,11,10806828.0,93.52
Personal consumption expenditures (PCE),2011-12-01,2011,Dec,12,10817849.0,93.574
Personal consumption expenditures (PCE),2012-01-01,2012,Jan,1,10896780.0,93.894
Personal consumption expenditures (PCE),2012-02-01,2012,Feb,2,10987216.0,94.104
Personal consumption expenditures (PCE),2012-03-01,2012,Mar,3,10993908.0,94.284
Personal consumption expenditures (PCE),2012-04-01,2012,Apr,4,11018538.0,94.408
Personal consumption expenditures (PCE),2012-05-01,2012,May,5,11006796.0,94.302
Personal consumption expenditures (PCE),2012-06-01,2012,Jun,6,10989830.0,94.254
Personal consumption expenditures (PCE),2012-07-01,2012,Jul,7,11016846.0,94.288
Personal consumption expenditures (PCE),2012-08-01,2012,Aug,8,11056012.0,94.605
Personal consumption expenditures (PCE),2012-09-01,2012,Sep,9,11105323.0,94.893
Personal consumption expenditures (PCE),2012-10-01,2012,Oct,10,11137427.0,95.174
Personal consumption expenditures (PCE),2012-11-01,2012,Nov,11,11178433.0,95.109
Personal consumption expenditures (PCE),2012-12-01,2012,Dec,12,11181248.0,95.094
Personal consumption expenditures (PCE),2013-01-01,2013,Jan,1,11252374.0,95.275
Personal consumption expenditures (PCE),2013-02-01,2013,Feb,2,11290497.0,95.614
Personal consumption expenditures (PCE),2013-03-01,2013,Mar,3,11290121.0,95.488
Personal consumption expenditures (PCE),2013-04-01,2013,Apr,4,11281071.0,95.391
Personal consumption expenditures (PCE),2013-05-01,2013,May,5,11321560.0,95.461
Personal consumption expenditures (PCE),2013-06-01,2013,Jun,6,11344413.0,95.673
Personal consumption expenditures (PCE),2013-07-01,2013,Jul,7,11372550.0,95.792
Personal consumption expenditures (PCE),2013-08-01,2013,Aug,8,11406597.0,95.934
Personal consumption expenditures (PCE),2013-09-01,2013,Sep,9,11445929.0,95.976
Personal consumption expenditures (PCE),2013-10-01,2013,Oct,10,11498041.0,96.103
Personal consumption expenditures (PCE),2013-11-01,2013,Nov,11,11562480.0,96.246
Personal consumption expenditures (PCE),2013-12-01,2013,Dec,12,11593168.0,96.414
Personal consumption expenditures (PCE),2014-01-01,2014,Jan,1,11578798.0,96.614
Personal consumption expenditures (PCE),2014-02-01,2014,Feb,2,11636889.0,96.66
Personal consumption expenditures (PCE),2014-03-01,2014,Mar,3,11722315.0,96.815
Personal consumption expenditures (PCE),2014-04-01,2014,Apr,4,11762305.0,96.987
Personal consumption expenditures (PCE),2014-05-01,2014,May,5,11807312.0,97.147
Personal consumption expenditures (PCE),2014-06-01,2014,Jun,6,11861735.0,97.253
Personal consumption expenditures (PCE),2014-07-01,2014,Jul,7,11904353.0,97.391
Personal consumption expenditures (PCE),2014-08-01,2014,Aug,8,11983661.0,97.379
Personal consumption expenditures (PCE),2014-09-01,2014,Sep,9,11991354.0,97.413
Personal consumption expenditures (PCE),2014-10-01,2014,Oct,10,12064692.0,97.384
Personal consumption expenditures (PCE),2014-11-01,2014,Nov,11,12083888.0,97.291
Personal consumption expenditures (PCE),2014-12-01,2014,Dec,12,12096102.0,97.12
Personal consumption expenditures (PCE),2015-01-01,2015,Jan,1,12066664.0,96.654
Personal consumption expenditures (PCE),2015-02-01,2015,Feb,2,12116561.0,96.825
Personal consumption expenditures (PCE),2015-03-01,2015,Mar,3,12176065.0,97.008
Personal consumption expenditures (PCE),2015-04-01,2015,Apr,4,12209081.0,97.094
Personal consumption expenditures (PCE),2015-05-01,2015,May,5,12275406.0,97.327
Personal consumption expenditures (PCE),2015-06-01,2015,Jun,6,12307934.0,97.516
Personal consumption expenditures (PCE),2015-07-01,2015,Jul,7,12364885.0,97.605
Personal consumption expenditures (PCE),2015-08-01,2015,Aug,8,12396189.0,97.612
Personal consumption expenditures (PCE),2015-09-01,2015,Sep,9,12386409.0,97.477
Personal consumption expenditures (PCE),2015-10-01,2015,Oct,10,12394909.0,97.477
Personal consumption expenditures (PCE),2015-11-01,2015,Nov,11,12423153.0,97.538
Personal consumption expenditures (PCE),2015-12-01,2015,Dec,12,12451998.0,97.456
Personal consumption expenditures (PCE),2016-01-01,2016,Jan,1,12477959.0,97.496
Personal consumption expenditures (PCE),2016-02-01,2016,Feb,2,12554520.0,97.445
Personal consumption expenditures (PCE),2016-03-01,2016,Mar,3,12536989.0,97.673
Personal consumption expenditures (PCE),2016-04-01,2016,Apr,4,12611453.0,97.993
Personal consumption expenditures (PCE),2016-05-01,2016,May,5,12652685.0,98.153
Personal consumption expenditures (PCE),2016-06-01,2016,Jun,6,12731235.0,98.325
Personal consumption expenditures (PCE),2016-07-01,2016,Jul,7,12756654.0,98.342
Personal consumption expenditures (PCE),2016-08-01,2016,Aug,8,12788079.0,98.479
Personal consumption expenditures (PCE),2016-09-01,2016,Sep,9,12846646.0,98.666
Personal consumption expenditures (PCE),2016-10-01,2016,Oct,10,12867030.0,98.868
Personal consumption expenditures (PCE),2016-11-01,2016,Nov,11,12893010.0,98.901
Personal consumption expenditures (PCE),2016-12-01,2016,Dec,12,13005926.0,99.071
Personal consumption expenditures (PCE),2017-01-01,2017,Jan,1,13063650.0,99.451
Personal consumption expenditures (PCE),2017-02-01,2017,Feb,2,13088383.0,99.586
Personal consumption expenditures (PCE),2017-03-01,2017,Mar,3,13139886.0,99.535
Personal consumption expenditures (PCE),2017-04-01,2017,Apr,4,13169177.0,99.725
Personal consumption expenditures (PCE),2017-05-01,2017,May,5,13171862.0,99.682
Personal consumption expenditures (PCE),2017-06-01,2017,Jun,6,13225151.0,99.766
Personal consumption expenditures (PCE),2017-07-01,2017,Jul,7,13263299.0,99.803
Personal consumption expenditures (PCE),2017-08-01,2017,Aug,8,13294640.0,100.027
Personal consumption expenditures (PCE),2017-09-01,2017,Sep,9,13417255.0,100.4
Personal consumption expenditures (PCE),2017-10-01,2017,Oct,10,13447486.0,100.531
Personal consumption expenditures (PCE),2017-11-01,2017,Nov,11,13540626.0,100.675
Personal consumption expenditures (PCE),2017-12-01,2017,Dec,12,13666091.0,100.821
Personal consumption expenditures (PCE),2018-01-01,2018,Jan,1,13703270.0,101.199
Personal consumption expenditures (PCE),2018-02-01,2018,Feb,2,13738737.0,101.416
Personal consumption expenditures (PCE),2018-03-01,2018,Mar,3,13793215.0,101.524
Personal consumption expenditures (PCE),2018-04-01,2018,Apr,4,13838421.0,101.766
Personal consumption expenditures (PCE),2018-05-01,2018,May,5,13905023.0,101.941
Personal consumption expenditures (PCE),2018-06-01,2018,Jun,6,13930438.0,102.029
Personal consumption expenditures (PCE),2018-07-01,2018,Jul,7,13974828.0,102.137
Personal consumption expenditures (PCE),2018-08-01,2018,Aug,8,14013992.0,102.208
Personal consumption expenditures (PCE),2018-09-01,2018,Sep,9,14017778.0,102.418
Personal consumption expenditures (PCE),2018-10-01,2018,Oct,10,14083061.0,102.595
Personal consumption expenditures (PCE),2018-11-01,2018,Nov,11,14162941.0,102.63
Personal consumption expenditures (PCE),2018-12-01,2018,Dec,12,14051596.0,102.701
Personal consumption expenditures (PCE),2019-01-01,2019,Jan,1,14084585.0,102.648
Personal consumption expenditures (PCE),2019-02-01,2019,Feb,2,14117418.0,102.836
Personal consumption expenditures (PCE),2019-03-01,2019,Mar,3,14248569.0,103.069
Personal consumption expenditures (PCE),2019-04-01,2019,Apr,4,14289984.0,103.36
Personal consumption expenditures (PCE),2019-05-01,2019,May,5,14353322.0,103.435
Personal consumption expenditures (PCE),2019-06-01,2019,Jun,6,14408679.0,103.484
Personal consumption expenditures (PCE),2019-07-01,2019,Jul,7,14495969.0,103.622
Personal consumption expenditures (PCE),2019-08-01,2019,Aug,8,14558244.0,103.67
Personal consumption expenditures (PCE),2019-09-01,2019,Sep,9,14590632.0,103.733
Personal consumption expenditures (PCE),2019-10-01,2019,Oct,10,14617397.0,103.917
Personal consumption expenditures (PCE),2019-11-01,2019,Nov,11,14710955.0,104.024
Personal consumption expenditures (PCE),2019-12-01,2019,Dec,12,14774762.0,104.307
Personal consumption expenditures (PCE),2020-01-01,2020,Jan,1,14844290.0,104.419
Personal consumption expenditures (PCE),2020-02-01,2020,Feb,2,14833847.0,104.541
Personal consumption expenditures (PCE),2020-03-01,2020,Mar,3,13810544.0,104.252
Personal consumption expenditures (PCE),2020-04-01,2020,Apr,4,12234409.0,103.817
Personal consumption expenditures (PCE),2020-05-01,2020,May,5,13251701.0,103.914
Personal consumption expenditures (PCE),2020-06-01,2020,Jun,6,14040802.0,104.233
Personal consumption expenditures (PCE),2020-07-01,2020,Jul,7,14303831.0,104.564
Personal consumption expenditures (PCE),2020-08-01,2020,Aug,8,14454899.0,104.887
Personal consumption expenditures (PCE),2020-09-01,2020,Sep,9,14675370.0,105.046
Personal consumption expenditures (PCE),2020-10-01,2020,Oct,10,14725953.0,105.106
Personal consumption expenditures (PCE),2020-11-01,2020,Nov,11,14704904.0,105.225
Personal consumption expenditures (PCE),2020-12-01,2020,Dec,12,14827338.0,105.69
Personal consumption expenditures (PCE),2021-01-01,2021,Jan,1,15081525.0,106.083
Personal consumption expenditures (PCE),2021-02-01,2021,Feb,2,14984400.0,106.471
Personal consumption expenditures (PCE),2021-03-01,2021,Mar,3,15712357.0,107.032
Personal consumption expenditures (PCE),2021-04-01,2021,Apr,4,15914954.0,107.632
