Date,State,Sector,employment,employment-population ratio,labor force,labor force participation rate,unemployment,unemployment rate
2008-01-01,Alabama,aggregate,2102623.0,58.1,2203722.0,60.9,101099.0,4.6
2008-01-01,Alaska,aggregate,330850.0,66.3,352768.0,70.7,21918.0,6.2
2008-01-01,Arizona,aggregate,2853932.0,60.8,2980006.0,63.5,126074.0,4.2
2008-01-01,Arkansas,aggregate,1289057.0,58.9,1358050.0,62.1,68993.0,5.1
2008-01-01,California,aggregate,17146553.0,61.9,18216024.0,65.8,1069471.0,5.9
2008-01-01,Colorado,aggregate,2589878.0,69.9,2701794.0,72.9,111916.0,4.1
2008-01-01,Connecticut,aggregate,1798589.0,65.4,1890372.0,68.8,91783.0,4.9
2008-01-01,DC,aggregate,316271.0,65.6,335210.0,69.6,18939.0,5.6
2008-01-01,Delaware,aggregate,436633.0,64.1,453413.0,66.6,16780.0,3.7
2008-01-01,Florida,aggregate,8866508.0,60.7,9318235.0,63.8,451727.0,4.8
2008-01-01,Georgia,aggregate,4573394.0,64.7,4819818.0,68.2,246424.0,5.1
2008-01-01,Hawaii,aggregate,641407.0,63.4,662210.0,65.4,20803.0,3.1
2008-01-01,Idaho,aggregate,730790.0,64.8,753918.0,66.9,23128.0,3.1
2008-01-01,Illinois,aggregate,6304042.0,64.7,6676633.0,68.5,372591.0,5.6
2008-01-01,Indiana,aggregate,3079431.0,63.1,3233076.0,66.2,153645.0,4.8
2008-01-01,Iowa,aggregate,1616872.0,69.6,1678033.0,72.2,61161.0,3.6
2008-01-01,Jersey,new,4288480.0,63.5,4493394.0,66.5,204914.0,4.6
2008-01-01,Kansas,aggregate,1423157.0,67.5,1485868.0,70.5,62711.0,4.2
2008-01-01,Kentucky,aggregate,1916147.0,58.3,2024721.0,61.6,108574.0,5.4
2008-01-01,Louisiana,aggregate,1974456.0,59.0,2057925.0,61.5,83469.0,4.1
2008-01-01,Maine,aggregate,672056.0,63.0,705066.0,66.1,33010.0,4.7
2008-01-01,Maryland,aggregate,2932607.0,66.9,3032021.0,69.1,99414.0,3.3
2008-01-01,Massachusetts,aggregate,3266763.0,63.7,3420116.0,66.7,153353.0,4.5
2008-01-01,Michigan,aggregate,4582548.0,59.3,4935753.0,63.9,353205.0,7.2
2008-01-01,Minnesota,aggregate,2760340.0,68.4,2896509.0,71.8,136169.0,4.7
2008-01-01,Mississippi,aggregate,1232052.0,56.1,1311303.0,59.7,79251.0,6.0
2008-01-01,Missouri,aggregate,2892710.0,63.6,3056484.0,67.2,163774.0,5.4
2008-01-01,Montana,aggregate,493165.0,64.9,512887.0,67.5,19722.0,3.8
2008-01-01,Nebraska,aggregate,963869.0,70.9,993102.0,73.1,29233.0,2.9
2008-01-01,Nevada,aggregate,1321563.0,65.8,1398268.0,69.7,76705.0,5.5
2008-01-01,NewHampshire,aggregate,711564.0,68.4,736439.0,70.8,24875.0,3.4
2008-01-01,NewMexico,aggregate,904321.0,59.6,938246.0,61.8,33925.0,3.6
2008-01-01,NewYork,aggregate,9094794.0,59.9,9543968.0,62.9,449174.0,4.7
2008-01-01,NorthCarolina,aggregate,4367836.0,62.0,4592989.0,65.2,225153.0,4.9
2008-01-01,NorthDakota,aggregate,366090.0,72.0,377010.0,74.1,10920.0,2.9
2008-01-01,Ohio,aggregate,5667956.0,63.6,6009019.0,67.4,341063.0,5.7
2008-01-01,Oklahoma,aggregate,1684469.0,61.0,1744005.0,63.1,59536.0,3.4
2008-01-01,Oregon,aggregate,1825632.0,62.0,1924097.0,65.4,98465.0,5.1
2008-01-01,Pennsylvania,aggregate,6126142.0,61.7,6436565.0,64.8,310423.0,4.8
2008-01-01,RhodeIsland,aggregate,534232.0,64.0,568709.0,68.1,34477.0,6.1
2008-01-01,SouthCarolina,aggregate,2036538.0,59.1,2156988.0,62.6,120450.0,5.6
2008-01-01,SouthDakota,aggregate,421853.0,70.0,433304.0,71.8,11451.0,2.6
2008-01-01,Tennessee,aggregate,2894320.0,60.2,3054577.0,63.6,160257.0,5.2
2008-01-01,Texas,aggregate,11144670.0,62.9,11647518.0,65.7,502848.0,4.3
2008-01-01,Utah,aggregate,1319141.0,70.2,1357659.0,72.3,38518.0,2.8
2008-01-01,Vermont,aggregate,336947.0,67.2,350839.0,70.0,13892.0,4.0
2008-01-01,Virginia,aggregate,3988069.0,66.9,4128231.0,69.2,140162.0,3.4
2008-01-01,Washington,aggregate,3275539.0,64.9,3432244.0,68.0,156705.0,4.6
2008-01-01,WestVirginia,aggregate,775480.0,52.9,811064.0,55.3,35584.0,4.4
2008-01-01,Wisconsin,aggregate,2946731.0,67.4,3083018.0,70.5,136287.0,4.4
2008-01-01,Wyoming,aggregate,290963.0,69.9,298989.0,71.8,8026.0,2.7
2008-02-01,Alabama,aggregate,2099095.0,58.0,2203693.0,60.8,104598.0,4.7
2008-02-01,Alaska,aggregate,331348.0,66.3,353319.0,70.7,21971.0,6.2
2008-02-01,Arizona,aggregate,2854471.0,60.7,2984918.0,63.5,130447.0,4.4
2008-02-01,Arkansas,aggregate,1290738.0,58.9,1358430.0,62.0,67692.0,5.0
2008-02-01,California,aggregate,17142880.0,61.8,18233608.0,65.8,1090728.0,6.0
2008-02-01,Colorado,aggregate,2590073.0,69.8,2702990.0,72.8,112917.0,4.2
2008-02-01,Connecticut,aggregate,1798771.0,65.4,1891711.0,68.8,92940.0,4.9
2008-02-01,DC,aggregate,316583.0,65.6,335772.0,69.6,19189.0,5.7
2008-02-01,Delaware,aggregate,436828.0,64.1,453941.0,66.6,17113.0,3.8
2008-02-01,Florida,aggregate,8851418.0,60.5,9319013.0,63.7,467595.0,5.0
2008-02-01,Georgia,aggregate,4576776.0,64.7,4830610.0,68.3,253834.0,5.3
2008-02-01,Hawaii,aggregate,642337.0,63.4,663521.0,65.5,21184.0,3.2
2008-02-01,Idaho,aggregate,729805.0,64.7,752721.0,66.7,22916.0,3.0
2008-02-01,Illinois,aggregate,6299268.0,64.6,6675942.0,68.4,376674.0,5.6
2008-02-01,Indiana,aggregate,3081734.0,63.1,3236679.0,66.3,154945.0,4.8
2008-02-01,Iowa,aggregate,1618204.0,69.6,1679120.0,72.2,60916.0,3.6
2008-02-01,Jersey,new,4289991.0,63.5,4498887.0,66.6,208896.0,4.6
2008-02-01,Kansas,aggregate,1423758.0,67.5,1485721.0,70.4,61963.0,4.2
2008-02-01,Kentucky,aggregate,1914913.0,58.2,2024131.0,61.5,109218.0,5.4
2008-02-01,Louisiana,aggregate,1976348.0,59.0,2060543.0,61.5,84195.0,4.1
2008-02-01,Maine,aggregate,672426.0,63.0,705272.0,66.1,32846.0,4.7
2008-02-01,Maryland,aggregate,2935115.0,66.9,3036414.0,69.2,101299.0,3.3
2008-02-01,Massachusetts,aggregate,3267474.0,63.7,3422387.0,66.7,154913.0,4.5
2008-02-01,Michigan,aggregate,4572950.0,59.2,4926222.0,63.7,353272.0,7.2
2008-02-01,Minnesota,aggregate,2760343.0,68.4,2897098.0,71.7,136755.0,4.7
2008-02-01,Mississippi,aggregate,1231484.0,56.0,1311312.0,59.7,79828.0,6.1
2008-02-01,Missouri,aggregate,2890757.0,63.6,3054918.0,67.2,164161.0,5.4
2008-02-01,Montana,aggregate,493318.0,64.8,513302.0,67.4,19984.0,3.9
2008-02-01,Nebraska,aggregate,964657.0,70.9,993816.0,73.1,29159.0,2.9
2008-02-01,Nevada,aggregate,1321677.0,65.7,1400687.0,69.7,79010.0,5.6
2008-02-01,NewHampshire,aggregate,712101.0,68.4,737133.0,70.8,25032.0,3.4
2008-02-01,NewMexico,aggregate,905058.0,59.6,939883.0,61.9,34825.0,3.7
2008-02-01,NewYork,aggregate,9097580.0,59.9,9550489.0,62.9,452909.0,4.7
