Date,Year,Month,State,Sector,number_of_employees,average_weekly_hours,average_hourly_earnings
2008-01-01,2008,Jan,Alabama,leisurehospitality,174.1,,9.91
2008-01-01,2008,Jan,Alabama,manufacturing,293.2,41.7,20.52
2008-01-01,2008,Jan,Alabama,retailtrade,241.3,,
2008-01-01,2008,Jan,Alabama,totalnonfarm,2028.7,,
2008-01-01,2008,Jan,Alabama,totalprivate,1644.0,36.0,19.27
2008-01-01,2008,Jan,Alaska,leisurehospitality,32.1,,13.43
2008-01-01,2008,Jan,Alaska,manufacturing,13.1,30.0,22.02
2008-01-01,2008,Jan,Alaska,retailtrade,36.4,,
2008-01-01,2008,Jan,Alaska,totalnonfarm,321.1,,
2008-01-01,2008,Jan,Alaska,totalprivate,238.4,33.8,24.74
2008-01-01,2008,Jan,Arizona,leisurehospitality,276.0,,12.06
2008-01-01,2008,Jan,Arizona,manufacturing,179.7,37.6,22.63
2008-01-01,2008,Jan,Arizona,retailtrade,331.8,,
2008-01-01,2008,Jan,Arizona,totalnonfarm,2676.4,,
2008-01-01,2008,Jan,Arizona,totalprivate,2243.7,34.1,19.83
2008-01-01,2008,Jan,Arkansas,leisurehospitality,100.9,,9.26
2008-01-01,2008,Jan,Arkansas,manufacturing,186.9,38.6,17.12
2008-01-01,2008,Jan,Arkansas,retailtrade,135.1,,
2008-01-01,2008,Jan,Arkansas,totalnonfarm,1206.8,,
2008-01-01,2008,Jan,Arkansas,totalprivate,994.9,34.8,16.88
2008-01-01,2008,Jan,California,leisurehospitality,1577.6,,14.15
2008-01-01,2008,Jan,California,manufacturing,1448.3,37.9,24.85
2008-01-01,2008,Jan,California,retailtrade,1667.5,,
2008-01-01,2008,Jan,California,totalnonfarm,15432.8,,
2008-01-01,2008,Jan,California,totalprivate,12918.7,33.4,24.23
2008-01-01,2008,Jan,Colorado,leisurehospitality,274.0,,13.49
2008-01-01,2008,Jan,Colorado,manufacturing,145.9,37.6,27.31
2008-01-01,2008,Jan,Colorado,retailtrade,255.5,,
2008-01-01,2008,Jan,Colorado,totalnonfarm,2353.6,,
2008-01-01,2008,Jan,Colorado,totalprivate,1974.5,34.3,23.68
2008-01-01,2008,Jan,Connecticut,leisurehospitality,137.4,,15.58
2008-01-01,2008,Jan,Connecticut,manufacturing,186.7,41.5,28.39
2008-01-01,2008,Jan,Connecticut,retailtrade,192.7,,
2008-01-01,2008,Jan,Connecticut,totalnonfarm,1719.1,,
2008-01-01,2008,Jan,Connecticut,totalprivate,1460.1,34.2,27.35
2008-01-01,2008,Jan,DC,leisurehospitality,56.9,,18.1
2008-01-01,2008,Jan,DC,manufacturing,1.7,,
2008-01-01,2008,Jan,DC,retailtrade,18.1,,
2008-01-01,2008,Jan,DC,totalnonfarm,698.1,,
2008-01-01,2008,Jan,DC,totalprivate,464.5,35.2,33.21
2008-01-01,2008,Jan,Delaware,leisurehospitality,42.3,,12.27
2008-01-01,2008,Jan,Delaware,manufacturing,31.8,37.9,22.28
2008-01-01,2008,Jan,Delaware,retailtrade,54.4,,
2008-01-01,2008,Jan,Delaware,totalnonfarm,439.9,,
2008-01-01,2008,Jan,Delaware,totalprivate,377.5,34.0,21.74
2008-01-01,2008,Jan,Florida,leisurehospitality,985.7,,14.06
2008-01-01,2008,Jan,Florida,manufacturing,387.2,41.1,21.77
2008-01-01,2008,Jan,Florida,retailtrade,1014.3,,
2008-01-01,2008,Jan,Florida,totalnonfarm,7900.3,,
2008-01-01,2008,Jan,Florida,totalprivate,6768.5,35.7,20.64
2008-01-01,2008,Jan,Georgia,leisurehospitality,399.1,,12.43
2008-01-01,2008,Jan,Georgia,manufacturing,421.5,39.9,19.03
2008-01-01,2008,Jan,Georgia,retailtrade,482.1,,
2008-01-01,2008,Jan,Georgia,totalnonfarm,4177.5,,
2008-01-01,2008,Jan,Georgia,totalprivate,3473.3,35.0,20.2
2008-01-01,2008,Jan,Hawaii,leisurehospitality,112.1,,17.51
2008-01-01,2008,Jan,Hawaii,manufacturing,15.3,34.7,20.21
